region_name,covid_movement_id
Kajiado North,2571501
Kajiado North,2571502
Kajiado North,2571503
Kajiado North,2571504
Kajiado North,2571505
Kajiado North,2571506
Kajiado North,2571507
Kajiado North,2571508
Kajiado North,2571509
Kajiado North,2571510
Kajiado North,2571511
Kajiado North,2571512
Kajiado North,2571513
Kajiado North,2571514
Kajiado North,2571515
Kajiado West,2571516
Kajiado West,2571517
Kajiado West,2571518
Kajiado West,2571519
Kajiado West,2571520
Kajiado West,2571521
Kajiado West,2571522
Kajiado West,2571523
Kajiado West,2571524
Kajiado West,2571525
Kajiado West,2571526
Kajiado West,2571527
Kajiado West,2571528
Kajiado West,2571529
Kajiado West,2571530
Kajiado West,2571531
Kajiado West,2571532
Kajiado West,2571533
Kajiado West,2571534
Kajiado West,2571535
Kajiado West,2571536
Kajiado West,2571537
Kajiado West,2571538
Kajiado West,2571539
Kajiado West,2571540
Kajiado West,2571541
Kajiado West,2571542
Kajiado West,2571543
Kajiado West,2571544
Kajiado West,2571545
Kajiado West,2571546
Kajiado West,2571547
Kajiado West,2571548
Kajiado West,2571549
Kajiado West,2571550
Kajiado West,2571551
Kajiado West,2571552
Kajiado West,2571553
Kajiado West,2571554
Kajiado West,2571555
Kajiado West,2571556
Kajiado West,2571557
Kajiado West,2571558
Kajiado West,2571559
Kajiado West,2571560
Kajiado West,2571561
Kajiado West,2571562
Kajiado West,2571563
Kajiado West,2571564
Kajiado West,2571565
Kajiado West,2571566
Kajiado West,2571567
Kajiado West,2571568
Kajiado West,2571569
Kajiado West,2571570
Kajiado West,2571571
Kajiado West,2571572
Kajiado West,2571573
Kajiado West,2571574
Kajiado West,2571575
Kajiado West,2571576
Kajiado West,2571577
Kajiado West,2571578
Kajiado West,2571579
Kajiado West,2571580
Kajiado West,2571581
Kajiado West,2571582
Kajiado West,2571583
Kajiado West,2571584
Kajiado West,2571585
Kajiado West,2571586
Kajiado West,2571587
Kajiado West,2571588
Kajiado West,2571589
Kajiado West,2571590
Kajiado West,2571591
Kajiado West,2571592
Kajiado West,2571593
Kajiado West,2571594
Kajiado West,2571595
Kajiado West,2571596
Kajiado West,2571597
Kajiado West,2571598
Kajiado West,2571599
Kajiado West,2571600
Kajiado West,2571601
Kajiado West,2571602
Kajiado West,2571603
Kajiado West,2571604
Kajiado West,2571605
Kajiado West,2571606
Kajiado West,2571607
Kajiado West,2571608
Kajiado West,2571609
Kajiado West,2571610
Kajiado West,2571611
Kajiado West,2571612
Kajiado West,2571613
Kajiado West,2571614
Kajiado West,2571615
Kajiado West,2571616
Kajiado West,2571617
Kajiado West,2571618
Kajiado West,2571619
Kajiado West,2571620
Kajiado West,2571621
Kajiado West,2571622
Kajiado West,2571623
Kajiado West,2571624
Kajiado West,2571625
Kajiado West,2571626
Kajiado West,2571627
Kajiado West,2571628
Kajiado West,2571629
Lurambi,2571630
Lurambi,2571631
Lurambi,2571632
Lurambi,2571633
Lurambi,2571634
Lurambi,2571635
Lurambi,2571636
Lurambi,2571637
Lurambi,2571638
Lurambi,2571639
Lurambi,2571640
Lurambi,2571641
Lurambi,2571642
Lurambi,2571643
Lurambi,2571644
Lurambi,2571645
Lurambi,2571646
Lurambi,2571647
Lurambi,2571648
Lurambi,2571649
Lurambi,2571650
Lurambi,2571651
Lurambi,2571652
Lurambi,2571653
Lurambi,2571654
Lurambi,2571655
Lurambi,2571656
Lurambi,2571657
Lurambi,2571658
Lurambi,2571659
Lurambi,2571660
Lurambi,2571661
Lurambi,2571662
Lurambi,2571663
Lurambi,2571664
Lurambi,2571665
Lurambi,2571666
Lurambi,2571667
Lurambi,2571668
Lurambi,2571669
Lurambi,2571670
Lurambi,2571671
Lurambi,2571672
Lurambi,2571673
Lurambi,2571674
Lurambi,2571675
Lurambi,2571676
Lurambi,2571677
Lurambi,2571678
Lurambi,2571679
Lurambi,2571680
Lurambi,2571681
Lurambi,2571682
Lurambi,2571683
Lurambi,2571684
Lurambi,2571685
Lurambi,2571686
Lurambi,2571687
Lurambi,2571688
Lurambi,2571689
Lurambi,2571690
Lurambi,2571691
Lurambi,2571692
Lurambi,2571693
Lurambi,2571694
Lurambi,2571695
Lurambi,2571696
Lurambi,2571697
Lurambi,2571698
Lurambi,2571699
Lurambi,2571700
Lurambi,2571701
Lurambi,2571702
Lurambi,2571703
Lurambi,2571704
Lurambi,2571705
Lurambi,2571706
Lurambi,2571707
Lurambi,2571708
Lurambi,2571709
Lurambi,2571710
Lurambi,2571711
Lurambi,2571712
Lurambi,2571713
Lurambi,2571714
Lurambi,2571715
Lurambi,2571716
Lurambi,2571717
Lurambi,2571718
Lurambi,2571719
Lurambi,2571720
Lurambi,2571721
Lurambi,2571722
Lurambi,2571723
Lurambi,2571724
Lurambi,2571725
Lurambi,2571726
Lurambi,2571727
Lurambi,2571728
Lurambi,2571729
Lurambi,2571730
Lurambi,2571731
Lurambi,2571732
Lurambi,2571733
Lurambi,2571734
Lurambi,2571735
Lurambi,2571736
Lurambi,2571737
Lurambi,2571738
Lurambi,2571739
Lurambi,2571740
Lurambi,2571741
Lurambi,2571742
Lurambi,2571743
Lurambi,2571744
Lurambi,2571745
Lurambi,2571746
Lurambi,2571747
Lurambi,2571748
Lurambi,2571749
Lurambi,2571750
Lurambi,2571751
Lurambi,2571752
Lurambi,2571753
Lurambi,2571754
Lurambi,2571755
Lurambi,2571756
Lurambi,2571757
Lurambi,2571758
Lurambi,2571759
Lurambi,2571760
Lurambi,2571761
Lurambi,2571762
Lurambi,2571763
Lurambi,2571764
Lurambi,2571765
Lurambi,2571766
Lurambi,2571767
Lurambi,2571768
Lurambi,2571769
Lurambi,2571770
Lurambi,2571771
Lurambi,2571772
Lurambi,2571773
Lurambi,2571774
Lurambi,2571775
Lurambi,2571776
Lurambi,2571777
Lurambi,2571778
Lurambi,2571779
Lurambi,2571780
Lurambi,2571781
Lurambi,2571782
Lurambi,2571783
Lurambi,2571784
Lurambi,2571785
Lurambi,2571786
Lurambi,2571787
Lurambi,2571788
Lurambi,2571789
Lurambi,2571790
Lurambi,2571791
Lurambi,2571792
Lurambi,2571793
Lurambi,2571794
Lurambi,2571795
Lurambi,2571796
Lurambi,2571797
Lurambi,2571798
Lurambi,2571799
Lurambi,2571800
Lurambi,2571801
Lurambi,2571802
Lurambi,2571803
Lurambi,2571804
Lurambi,2571805
Lurambi,2571806
Lurambi,2571807
Lurambi,2571808
Lurambi,2571809
Lurambi,2571810
Lurambi,2571811
Lurambi,2571812
Lurambi,2571813
Lurambi,2571814
Lurambi,2571815
Lurambi,2571816
Lurambi,2571817
Lurambi,2571818
Lurambi,2571819
Lurambi,2571820
Lurambi,2571821
Lurambi,2571822
Lurambi,2571823
Lurambi,2571824
Lurambi,2571825
Lurambi,2571826
Lurambi,2571827
Lurambi,2571828
Lurambi,2571829
Lurambi,2571830
Lurambi,2571831
Lurambi,2571832
Lurambi,2571833
Lurambi,2571834
Lurambi,2571835
Lurambi,2571836
Lurambi,2571837
Lurambi,2571838
Lurambi,2571839
Lurambi,2571840
Lurambi,2571841
Lurambi,2571842
Lurambi,2571843
Lurambi,2571844
Lurambi,2571845
Lurambi,2571846
Lurambi,2571847
Lurambi,2571848
Lurambi,2571849
Lurambi,2571850
Lurambi,2571851
Lurambi,2571852
Lurambi,2571853
Lurambi,2571854
Lurambi,2571855
Lurambi,2571856
Lurambi,2571857
Lurambi,2571858
Lurambi,2571859
Lurambi,2571860
Lurambi,2571861
Lurambi,2571862
Lurambi,2571863
Lurambi,2571864
Lurambi,2571865
Lurambi,2571866
Lurambi,2571867
Lurambi,2571868
Lurambi,2571869
Lurambi,2571870
Lurambi,2571871
Lurambi,2571872
Lurambi,2571873
Lurambi,2571874
Lurambi,2571875
Lurambi,2571876
Lurambi,2571877
Lurambi,2571878
Lurambi,2571879
Lurambi,2571880
Lurambi,2571881
Lurambi,2571882
Lurambi,2571883
Lurambi,2571884
Lurambi,2571885
Lurambi,2571886
Lurambi,2571887
Lurambi,2571888
Lurambi,2571889
Lurambi,2571890
Lurambi,2571891
Lurambi,2571892
Lurambi,2571893
Lurambi,2571894
Lurambi,2571895
Lurambi,2571896
Lurambi,2571897
Lurambi,2571898
Lurambi,2571899
Lurambi,2571900
Lurambi,2571901
Lurambi,2571902
Lurambi,2571903
Lurambi,2571904
Lurambi,2571905
Lurambi,2571906
Lurambi,2571907
Lurambi,2571908
Lurambi,2571909
Lurambi,2571910
Lurambi,2571911
Lurambi,2571912
Lurambi,2571913
Lurambi,2571914
Lurambi,2571915
Lurambi,2571916
Lurambi,2571917
Lurambi,2571918
Lurambi,2571919
Lurambi,2571920
Lurambi,2571921
Lurambi,2571922
Lurambi,2571923
Lurambi,2571924
Lurambi,2571925
Lurambi,2571926
Lurambi,2571927
Lurambi,2571928
Lurambi,2571929
Lurambi,2571930
Lurambi,2571931
Lurambi,2571932
Lurambi,2571933
Lurambi,2571934
Lurambi,2571935
Ainamoi,2571936
Ainamoi,2571937
Ainamoi,2571938
Ainamoi,2571939
Ainamoi,2571940
Ainamoi,2571941
Ainamoi,2571942
Ainamoi,2571943
Ainamoi,2571944
Ainamoi,2571945
Ainamoi,2571946
Ainamoi,2571947
Ainamoi,2571948
Ainamoi,2571949
Ainamoi,2571950
Ainamoi,2571951
Ainamoi,2571952
Ainamoi,2571953
Ainamoi,2571954
Ainamoi,2571955
Ainamoi,2571956
Ainamoi,2571957
Ainamoi,2571958
Ainamoi,2571959
Ainamoi,2571960
Ainamoi,2571961
Ainamoi,2571962
Ainamoi,2571963
Ainamoi,2571964
Ainamoi,2571965
Ainamoi,2571966
Ainamoi,2571967
Ainamoi,2571968
Ainamoi,2571969
Ainamoi,2571970
Ainamoi,2571971
Ainamoi,2571972
Ainamoi,2571973
Ainamoi,2571974
Ainamoi,2571975
Ainamoi,2571976
Ainamoi,2571977
Ainamoi,2571978
Ainamoi,2571979
Ainamoi,2571980
