covid_movement_id,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,covid_movement_date
2571163,-0.05867000000000001,0.18134,2020-11-15
2571164,-0.0164,0.15159,2020-11-16
2571165,-0.04799,0.15984,2020-11-17
2571166,-0.01455,0.15244000000000002,2020-11-18
2571167,-0.04622,0.15822999999999998,2020-11-19
2571168,-0.01356,0.16022999999999998,2020-11-20
2571169,-0.026560000000000004,0.16215,2020-11-21
2571170,-0.0655,0.16978,2020-11-22
2571171,-0.03348,0.14756,2020-11-23
2571172,-0.03639,0.1669,2020-11-24
2571173,-0.07023,0.15849000000000002,2020-11-25
2571174,-0.00217,0.15382,2020-11-26
2571175,-0.01731,0.16030999999999998,2020-11-27
2571176,-0.07554,0.18902,2020-11-28
2571177,-0.11699999999999999,0.21509,2020-11-29
2571178,-0.05677000000000001,0.13552999999999998,2020-11-30
2571179,0.00255,0.12739,2020-12-01
2571180,-0.01976,0.14832,2020-12-02
2571181,0.0070599999999999994,0.13188,2020-12-03
2571182,0.01608,0.14493,2020-12-04
2571183,0.06931,0.1312,2020-12-05
2571184,-0.011359999999999999,0.15817,2020-12-06
2571185,-0.00924,0.15162,2020-12-07
2571186,0.02408,0.15035,2020-12-08
2571187,-0.017130000000000003,0.15055,2020-12-09
2571188,0.00539,0.1307,2020-12-10
2571189,0.02818,0.13724,2020-12-11
2571190,-0.04275,0.14404,2020-12-12
2571191,-0.0594,0.16865,2020-12-13
2571192,0.01153,0.14029,2020-12-14
2571193,0.016390000000000002,0.13558,2020-12-15
2571194,0.07427,0.14135,2020-12-16
2571195,0.06972,0.14095,2020-12-17
2571196,0.07,0.12750999999999998,2020-12-18
2571197,0.06577000000000001,0.13371,2020-12-19
2571198,0.06532,0.15175999999999998,2020-12-20
2571199,0.03125,0.14211,2020-12-21
2571200,0.05669,0.12796,2020-12-22
2571201,0.043269999999999996,0.14315999999999998,2020-12-23
2571202,0.0061600000000000005,0.11990999999999999,2020-12-24
2571203,-0.20965,0.17260999999999999,2020-12-25
2571204,-0.29863,0.20809,2020-12-26
2571205,-0.15498,0.21884,2020-12-27
2571206,-0.11646,0.15819,2020-12-28
2571207,-0.17812999999999998,0.16564,2020-12-29
2571208,-0.14732,0.16008,2020-12-30
2571209,-0.1162,0.1553,2020-12-31
2571210,-0.09974,0.17559,2020-03-01
2571211,0.19976,0.11377000000000001,2020-03-02
2571212,0.24291999999999997,0.1125,2020-03-03
2571213,0.04337,0.11035999999999999,2020-03-04
2571214,0.06376,0.11765,2020-03-05
2571215,0.06638,0.10617,2020-03-06
2571216,0.07575,0.1372,2020-03-07
2571217,0.06213,0.14043,2020-03-08
2571218,0.20203,0.10619,2020-03-09
2571219,0.16585999999999998,0.10828,2020-03-10
2571220,0.01906,0.11950999999999999,2020-03-11
2571221,-0.0067,0.12573,2020-03-12
2571222,-0.0091,0.11887,2020-03-13
2571223,-0.08127000000000001,0.15049,2020-03-14
2571224,-0.08999,0.1668,2020-03-15
2571225,0.03096,0.14411,2020-03-16
2571226,0.05605,0.16457,2020-03-17
